complex_name,province,land_price,complex_group
양주상수일반산업단지,경기,47000,일반
양주홍죽일반산업단지,경기,425309,일반
에스폼산업단지,충북,191603,국가
여수국가산업단지,전남,147860,일반
여수오천일반산업단지,전남,65000,일반
여수율촌제1일반산업단지,전남,139226,일반
여주강천일반산업단지,경기,155958,일반
여주삼교일반산업단지,경기,181555,일반
여주장안일반산업단지,경기,36500,일반
연천백학일반산업단지,경기,187480,일반
연천백학통구일반산업단지,경기,0,일반
연천장남일반산업단지,경기,0,일반
영광대마일반산업단지,전남,119526,일반
영동일반산업단지,경남,0,일반
영암삼호일반산업단지,전남,144511,일반
영주SK스페셜티일반산업단지,경북,0,일반
영주가흥일반산업단지,경기,407546,일반
영주갈산일반산업단지,경북,129000,일반
영주두전일반산업단지,경북,0,일반
영주일반산업단지,경북,37500,일반
영천일반산업단지,경북,0,일반
예산신소재일반산업단지,충남,192275,일반
예산예당일반산업단지,충남,190000,일반
예산일반산업단지,충남,168191,일반
오산가장2일반산업단지,경기,413707,일반
오산가장지방산업단지,경기,392230,일반
오산세마일반산업단지,경기,0,일반
오송생명과학단지,충북,156380,국가
옥천청산일반산업단지,충북,86150,일반
옥천테크노밸리일반산업단지,충북,123720,일반
온산국가산업단지,울산,81670,국가
완장일반산업단지,경기,498500,일반
완주일반산업단지,전북,47406,일반
완주테크노밸리일반산업단지,전북,148225,일반
왜관일반산업단지,경북,91753,일반
왜관제3일반산업단지,경북,241342,일반
용인농서일반산업단지,경기,0,일반
용인원삼일반산업단지,경기,0,일반
용인제일일반산업단지,경기,0,일반
용인테크노밸리일반산업단지,경기,510950,일반
용인통삼일반산업단지,경기,0,일반
용인패키징디자인일반산업단지,경기,918616,일반
울산길천일반산업단지,울산,220570,일반
울산매곡일반산업단지,울산,145800,일반
울산매곡제2일반산업단지,울산,362031,일반
울산매곡제3일반산업단지,울산,362031,일반
울산모듈화일반산업단지,울산,219000,일반
울산미포국가산업단지,울산,166370,국가
울산반천일반산업단지,울산,241395,일반
울산봉계일반산업단지,울산,187960,일반
울산신일반산업단지,울산,304890,일반
울산와지일반산업단지,울산,0,일반
울산전읍일반산업단지,울산,0,일반
울산중산2차일반산업단지,울산,345670,일반
울산중산일반산업단지,울산,316720,일반
울산테크노일반산업단지,울산,433359,일반
웅천일반산업단지,충남,138993,일반
원주동화일반산업단지,강원,102700,일반
원주문막반계일반산업단지,강원,299000,일반
원주문막지방산업단지,강원,60500,일반
원주우산일반산업단지,강원,6000,일반
원주자동차부품일반산업단지,강원,319000,일반
음성금왕일반산업단지,충북,120000,일반
음성금왕테크노밸리일반산업단지,충북,226679,일반
음성대풍일반산업단지,충북,118000,일반
음성리노삼봉일반산업단지,충북,175758,일반
음성맹동일반산업단지,충북,94000,일반
음성생극일반산업단지,충북,181005,일반
음성성본일반산업단지,충북,297460,일반
음성오선일반산업단지,충북,155006,일반
음성용산일반산업단지,충북,251515,일반
음성원남일반산업단지,충북,135855,일반
음성유촌일반산업단지,충북,202260,일반
음성이테크일반산업단지,충북,87000,일반
음성중부일반산업단지,충북,181500,일반
음성하이텍일반산업단지,충북,64000,일반
의정부용현일반산업단지,경기,191000,일반
이당일반산업단지,경남,7250,일반
이천대월일반산업단지,경기,240586,일반
이천도암일반산업단지,경기,225360,일반
이천모가일반산업단지,경기,170000,일반
이천장호원일반산업단지,경기,226757,일반
이화일반산업단지,울산,291960,국가
익산국가산업단지,전북,15125,일반
익산제2일반산업단지,전북,68000,일반
익산제3일반산업단지,전북,123900,일반
익산제4일반산업단지,전북,106900,일반
인천기계일반산업단지,인천,393000,일반
인천서부일반산업단지,인천,151250,일반
인천서운일반산업단지,인천,1144053,일반
인천일반산업단지,인천,197000,일반
인천청라1지구일반산업단지,인천,76000,국가
장항국가생태산업단지,충남,115571,일반
장흥바이오식품일반산업단지,전남,99363,일반
전주과학산업연구단지,전북,87692,일반
전주시자원순환특화일반산업단지,전북,194084,일반
전주제1일반산업단지,전북,2000,일반
전주제2일반산업단지,전북,32415,일반
전주친환경첨단복합일반산업단지(3-1단계),전북,268851,일반
정읍제1일반산업단지,전북,27000,일반
정읍제2일반산업단지,전북,55424,일반
정읍제3일반산업단지,전북,45072,일반
정읍첨단과학일반산업단지,전북,114864,일반
정주일반산업단지,부산,0,일반
제주용암해수일반산업단지,제주,119570,일반
제천일반산업단지,충북,79783,일반
제천제2산업단지,충북,105138,일반
제천제3산업단지,충북,138692,일반
증평2일반산업단지,충북,158510,일반
증평일반산업단지,충북,166940,일반
진주뿌리일반산업단지,경남,419912,일반
진주상평일반산업단지,경남,28459,일반
진주일반산업단지,경남,174310,일반
진주정촌일반산업단지,경남,242000,일반
진주지수일반산업단지,경남,231492,일반
진천문백정밀기계일반산업단지,충북,0,일반
진천문백태흥일반산업단지,충북,0,일반
진천산수일반산업단지,충북,0,일반
진천신척일반산업단지,충북,156383,일반
진천이월일반산업단지,충북,165680,국가
진천죽현일반산업단지,충북,0,일반
진천초평은암일반산업단지,충북,620000,일반
진천케이푸드밸리,충북,219313,일반
진해국가산업단지,경남,257000,일반
진해남양지방산업단지,경남,407770,일반
진해마천일반산업단지,경남,130000,일반
진해죽곡일반산업단지,경남,460000,일반
창녕넥센일반산업단지,경남,0,일반
창녕대합일반산업단지,경남,190574,일반
창녕억만일반산업단지,경남,183870,국가
창원국가산업단지,경남,185000,일반
창원수곡일반산업단지,경남,371000,일반
창원일반산업단지,경남,375349,일반
창원진전평암일반산업단지,경남,0,일반
창원창곡일반산업단지,경남,0,일반
창원천선일반산업단지,경남,625058,일반
천안마정일반산업단지,충남,20300,일반
천안산업기술일반산업단지,충남,20300,일반
천안제2일반산업단지,충남,76000,일반
천안제3일반산업단지,충남,150644,일반
천안제4일반산업단지,충남,75035,일반
천안제5일반산업단지,충남,248050,일반
천안풍세일반산업단지,충남,260149,일반
청산대전일반산업단지,경기,0,일반
청원옥산일반산업단지,충북,211733,일반
청주오송제2생명과학일반산업단지(충북경제자유구역 오송바이오폴리스지구),충북,295640,일반
청주오창과학일반산업단지,충북,133371,일반
청주오창제2일반산업단지,충북,208725,일반
청주오창제3일반산업단지,충북,218018,일반
청주테크노폴리스일반산업단지,충북,320703,일반
청주현도일반산업단지,충북,551590,일반
춘천동춘천일반산업단지,강원,191253,일반
춘천전력IT문화복합일반산업단지,강원,331000,일반
춘천후평일반산업단지,충북,0,일반
충주DH산업단지,충북,0,일반
충주KGC예본일반산업단지,충북,0,일반
충주대신일반산업단지,충북,0,일반
충주만정일반산업단지,충북,0,일반
충주메가폴리스일반산업단지,충북,191070,일반
충주제1일반산업단지,충북,54450,일반
충주제3일반산업단지,충북,166602,일반
충주제4일반산업단지,충북,168740,일반
충주제5일반산업단지,충북,203030,일반
충주중원일반산업단지,충북,136000,일반
충주첨단일반산업단지,충북,119322,일반
칠곡연화일반산업단지,경북,0,일반
칠서일반산업단지,경남,182000,일반
탕정일반산업단지,충남,0,일반
태백동점산업단지,강원,100000,일반
파주LCD일반산업단지,경기,214884,일반
파주금파일반산업단지,경기,100400,일반
파주문발제1일반산업단지,경기,535000,일반
파주문발제2일반산업단지,경기,535000,일반
파주법원2일반산업단지,경기,390900,일반
파주신촌일반산업단지,경기,393248,일반
파주오산일반산업단지,경기,470000,일반
파주월롱첨단일반산업단지,경기,417930,일반
