complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu,complex_group
충주첨단일반산업단지,0,0,0.085106383,0.255319149,0.021276596,0.021276596,0.361702128,0.085106383,0.106382979,0,0.063829787,일반
칠곡연화일반산업단지,0,0.1,0,0.2,0,0,0.7,0,0,0,0,일반
칠서일반산업단지,0.048780488,0,0.012195122,0.158536585,0,0.024390244,0.62195122,0,0.036585366,0,0.097560976,일반
탕정일반산업단지,0,0,0,0,0,0,0.4,0,0.2,0,0.4,일반
태백동점산업단지,0.333333333,0.111111111,0.222222222,0,0,0,0.111111111,0.111111111,0,0,0.111111111,일반
파주LCD일반산업단지,0,0,0,0.25,0,0,0,0.375,0,0,0.375,일반
파주금파일반산업단지,0.166666667,0,0,0.416666667,0,0,0.25,0.083333333,0,0,0.083333333,일반
파주문발제1일반산업단지,0,0,0.777777778,0.055555556,0,0,0.166666667,0,0,0,0,일반
파주문발제2일반산업단지,0,0,0.705882353,0.058823529,0,0,0.117647059,0.058823529,0,0,0.058823529,일반
파주법원2일반산업단지,0.136363636,0.090909091,0.045454545,0.090909091,0,0.090909091,0.409090909,0,0,0.136363636,0,일반
파주신촌일반산업단지,0.052631579,0,0.460526316,0.131578947,0,0,0.171052632,0.092105263,0,0.065789474,0.026315789,일반
파주오산일반산업단지,0,0,0.907894737,0.013157895,0,0,0,0.013157895,0,0,0.065789474,일반
파주월롱첨단일반산업단지,0,0,0,0,0.5,0,0,0.5,0,0,0,일반
파주적성일반산업단지,0,0.010526316,0.084210526,0.147368421,0.010526316,0.221052632,0.2,0.073684211,0.010526316,0.042105263,0.2,일반
파주첨단일반산업단지(선유지구),0.034782609,0.060869565,0.07826087,0.243478261,0,0,0.382608696,0.139130435,0,0.008695652,0.052173913,일반
파주축현일반산업단지,0.031914894,0.031914894,0.042553191,0.404255319,0,0.085106383,0.127659574,0.042553191,0.010638298,0.095744681,0.127659574,일반
파주탄현일반산업단지,0,0,0.163265306,0.06122449,0,0,0.346938776,0.06122449,0,0.306122449,0.06122449,일반
평택LGDigitalPark일반산업단지,0,0,0,0,0,0,0,1,0,0,0,일반
평택고렴일반산업단지,0.105263158,0,0,0.578947368,0,0.052631579,0.052631579,0,0,0,0.210526316,일반
평택송탄일반산업단지,0.013513514,0.002457002,0.011056511,0.083538084,0.001228501,0.002457002,0.039312039,0.041769042,0.007371007,0.011056511,0.786240786,일반
평택어연.한산일반산업단지,0,0,0,0.135135135,0,0.027027027,0.216216216,0.378378378,0.216216216,0,0.027027027,일반
평택일반산업단지,0.055555556,0,0,0.263888889,0.041666667,0,0.305555556,0.166666667,0.069444444,0.083333333,0.013888889,일반
평택장당일반산업단지,0.2,0,0,0.2,0,0,0.2,0.4,0,0,0,일반
평택진위2일반산업단지,0,0.024590164,0,0.020491803,0,0,0.270491803,0.237704918,0.008196721,0,0.43852459,일반
평택진위일반산업단지,0,0,0,0,0,0,0.307692308,0.538461538,0,0,0.153846154,일반
평택추팔일반산업단지,0.075,0.025,0.025,0.325,0.025,0,0.15,0.275,0.075,0,0.025,일반
평택칠괴일반산업단지,0.071428571,0,0,0.321428571,0,0,0.321428571,0.178571429,0.071428571,0.035714286,0,일반
평택포승2일반산업단지,0,0,0,0,0,0,0.428571429,0,0,0,0.571428571,일반
평택현곡일반산업단지,0,0,0,0.181818182,0.03030303,0,0.303030303,0.454545455,0.03030303,0,0,일반
포천금현일반산업단지,0,0.133333333,0,0.4,0.066666667,0,0.133333333,0.066666667,0,0,0.2,일반
포천신평일반산업단지,0.142857143,0.214285714,0,0.214285714,0,0.071428571,0.071428571,0.285714286,0,0,0,일반
포천양문일반산업단지,0,0.957446809,0,0,0,0,0,0,0,0,0.042553191,일반
포천용정일반산업단지,0.11,0.05,0.005,0.135,0,0,0.105,0.08,0.005,0.045,0.465,일반
포천장자일반산업단지,0,0.869047619,0,0.035714286,0,0,0,0,0,0,0.095238095,일반
포항영일만2일반산업단지,0,0,0,0,0,0.111111111,0.222222222,0,0.444444444,0,0.222222222,일반
포항영일만3일반산업단지,0,0,0,0,0,0.111111111,0.111111111,0,0,0,0.777777778,일반
포항영일만4일반산업단지,0,0,0,0.166666667,0,0.333333333,0,0.5,0,0,0,일반
