complex_name,complex_group,airport_name,airport_distance,seaport_name,seaport_distance,highway_name,highway_distance,station_name,station_distance
오산가장지방산업단지,일반,김포국제공항국제선청사,66,탄도항,46,북오산IC,6.2,수원역 (고속철도),24
오산세마일반산업단지,일반,김포국제공항국제선청사,64,탄도항,43,안녕IC,9.8,천안아산역 (고속철도),19
옥천청산일반산업단지,일반,청주국제공항,67,탄도항,170,옥천IC,5.1,평택지제역 (고속철도),49
옥천테크노밸리일반산업단지,일반,김포국제공항국제선청사,79,탄도항,62,동탄IC,18,천안아산역 (고속철도),82
완장일반산업단지,일반,군산공항,55,군산항,56,삼례IC,11,울산역 (고속철도),41
완주일반산업단지,일반,군산공항,61,군산항,63,익산IC,20,마산역 (고속철도),21
완주테크노밸리일반산업단지,일반,대구국제공항,31,탄도항,270,남포항IC,4.1,동탄역 (고속철도),12
왜관일반산업단지,일반,대구국제공항,35,탄도항,273,범서IC,8.6,동탄역 (고속철도),11
왜관제3일반산업단지,일반,김포국제공항국제선청사,65,탄도항,50,기흥동탄IC,16,감곡장호원역 (고속철도),23
용인농서일반산업단지,일반,청주국제공항,66,한진포구,91,양지IC,13,오송역 (고속철도),1.4
용인원삼일반산업단지,일반,김포국제공항국제선청사,76,탄도항,76,양지IC,4,행신역 (고속철도),15
용인제일일반산업단지,일반,김포국제공항국제선청사,86,탄도항,69,동탄IC,18,오송역 (고속철도),18
용인테크노밸리일반산업단지,일반,김포국제공항국제선청사,75,탄도항,56,오산IC,8,오송역 (고속철도),18
용인통삼일반산업단지,일반,김포국제공항국제선청사,67,탄도항,67,용인IC,3.4,오송역 (고속철도),14
용인패키징디자인일반산업단지,일반,울산공항,36,대변항,62,서울산IC,9.2,진주역 (고속철도),25
울산길천일반산업단지,일반,울산공항,8.4,정자항,18,범서IC,26,대전역 (고속철도),23
울산매곡일반산업단지,일반,울산공항,9,정자항,18,범서IC,25,울산역 (고속철도),21
울산매곡제2일반산업단지,일반,울산공항,7.9,정자항,17,범서IC,26,동탄역 (고속철도),15
울산매곡제3일반산업단지,일반,울산공항,4.1,정자항,9.1,서울산IC,30,익산역 (고속철도),7.4
울산모듈화일반산업단지,일반,울산공항,26,대변항,57,서울산IC,25,전주역 (고속철도),7.9
울산반천일반산업단지,일반,여수공항,7.7,소호항,6.8,옥곡IC,26,포항역 (고속철도),19
울산봉계일반산업단지,일반,대구국제공항,50,탄도항,304,북현풍(하이패스)IC,8.6,울산역 (고속철도),28
울산신일반산업단지,일반,울산공항,13,울산신항,3.6,청량IC,4.2,용암역(고속철도),1
울산와지일반산업단지,일반,울산공항,37,대변항,67,활천IC,6.2,안동역 (고속철도),14
울산전읍일반산업단지,일반,울산공항,9.2,정자항,18,범서IC,27,-,-
울산중산2차일반산업단지,일반,울산공항,9.2,정자항,18,범서IC,27,동탄역 (고속철도),42
울산중산일반산업단지,일반,울산공항,14,장생포항,9.2,청량IC,4.2,동탄역 (고속철도),21
울산테크노일반산업단지,일반,청주국제공항,134,안섬포구,102,무창포IC,1.7,동탄역 (고속철도),20
웅천일반산업단지,일반,원주공항,36,탄도항,129,문막IC,3.8,마산역 (고속철도),33
원주동화일반산업단지,일반,원주공항,28,탄도항,129,문막IC,3.6,서울역 (고속철도),64
원주문막반계일반산업단지,일반,원주공항,37,탄도항,129,문막IC,3.1,서울역 (고속철도),41
원주문막지방산업단지,일반,원주공항,12,탄도항,145,원주IC,3.8,만종역 (고속철도),6.1
원주우산일반산업단지,일반,원주공항,28,탄도항,128,문막IC,2.7,횡성역 (고속철도),6.8
원주자동차부품일반산업단지,일반,사천공항,34,남포항,6.3,동고성IC,17,천안아산역 (고속철도),45
음성금왕일반산업단지,일반,청주국제공항,41,탄도항,103,금왕꽃동네IC,5.3,울산역 (고속철도),22
음성금왕테크노밸리일반산업단지,일반,청주국제공항,41,탄도항,103,금왕꽃동네IC,2.7,천안아산역 (고속철도),45
음성대풍일반산업단지,일반,청주국제공항,36,탄도항,98,대소IC,1.1,평택지제역 (고속철도),7.7
음성리노삼봉일반산업단지,일반,청주국제공항,39,탄도항,102,금왕꽃동네IC,1.2,감곡장호원역 (고속철도),34
음성맹동일반산업단지,일반,청주국제공항,35,탄도항,106,금왕꽃동네IC,1.1,동탄역 (고속철도),37
음성생극일반산업단지,일반,청주국제공항,53,탄도항,115,음성IC,10,서원주역 (고속철도),4.4
음성성본일반산업단지,일반,청주국제공항,43,탄도항,105,금왕꽃동네IC,4.4,행신역 (고속철도),34
음성오선일반산업단지,일반,청주국제공항,42,탄도항,104,금왕꽃동네IC,3.8,오송역 (고속철도),13
음성용산일반산업단지,일반,청주국제공항,49,탄도항,119,음성IC,10,감곡장호원역 (고속철도),19
음성원남일반산업단지,일반,청주국제공항,41,탄도항,122,음성IC,14,풍기역 (고속철도),3.5
음성유촌일반산업단지,일반,청주국제공항,41,탄도항,103,금왕꽃동네IC,2.7,천안아산역 (고속철도),44
음성이테크일반산업단지,일반,원주공항,69,탄도항,119,감곡IC,3.9,감곡장호원역 (고속철도),25
음성중부일반산업단지,일반,청주국제공항,45,탄도항,102,대소IC,5.2,진주역 (고속철도),53
음성하이텍일반산업단지,일반,청주국제공항,40,탄도항,102,금왕꽃동네IC,3.8,행신역 (고속철도),30
의정부용현일반산업단지,일반,김포국제공항,45,소래포구,66,민락IC,4.3,여천역 (고속철도),12
이당일반산업단지,일반,-,-,-,-,내서IC,4.6,감곡장호원역 (고속철도),29
이천도암일반산업단지,일반,원주공항,61,탄도항,99,서이천IC,8.8,감곡장호원역 (고속철도),7.4
이천모가일반산업단지,일반,청주국제공항,60,탄도항,92,남이천IC,1.2,감곡장호원역 (고속철도),28
이천장호원일반산업단지,일반,청주국제공항,62,탄도항,120,감곡IC,5.6,진영역 (고속철도),6
이화일반산업단지,일반,울산공항,12,정자항,21,남경주IC,19,마산역 (고속철도),8.1
익산제2일반산업단지,일반,군산공항,41,서천마량포구,64,전주IC,6,오송역 (고속철도),47
익산제3일반산업단지,일반,군산공항,52,서천마량포구,68,서김제IC,5.7,울산역 (고속철도),36
익산제4일반산업단지,일반,군산공항,52,서천마량포구,68,익산IC,15,전주역 (고속철도),11
인천기계일반산업단지,일반,김포국제공항국제선청사,27,북성포구,9.7,가좌IC,2.2,김제역 (고속철도),12
인천서부일반산업단지,일반,김포국제공항국제선청사,18,북성포구,13,북청라IC,2.5,익산역 (고속철도),14
인천서운일반산업단지,일반,김포국제공항국제선청사,10,외포항,18,계양IC,2.5,천안아산역 (고속철도),18
인천일반산업단지,일반,김포국제공항국제선청사,14,탄도항,63,청라IC,7.4,행신역 (고속철도),18
장흥바이오식품일반산업단지,일반,광주공항,69,녹동항,100,일로IC,10,광명역 (고속철도),35
전주과학산업연구단지,일반,군산공항,57,군산항,58,익산IC,3.4,행신역 (고속철도),25
전주시자원순환특화일반산업단지,일반,군산공항,54,군산항,54,-,-,서울역 (고속철도),81
전주제1일반산업단지,일반,군산공항,48,군산항,48,전주IC,6.1,평택지제역 (고속철도),2.9
전주제2일반산업단지,일반,군산공항,48,군산항,48,정읍IC,4.9,감곡장호원역 (고속철도),22
전주친환경첨단복합일반산업단지(3-1단계),일반,-,-,-,-,익산IC,3.1,감곡장호원역 (고속철도),23
정읍제1일반산업단지,일반,군산공항,66,곰소항,30,정읍IC,4.8,청량리역 (고속철도),54
정읍제2일반산업단지,일반,군산공항,72,격포항,66,태인IC교차로,12,진영역 (고속철도),4.2
정읍제3일반산업단지,일반,군산공항,72,격포항,62,내장산IC,3.8,감곡장호원역 (고속철도),3.4
정읍첨단과학일반산업단지,일반,광주공항,51,격포항,78,부안IC,19,목포역 (고속철도),7.7
정주일반산업단지,일반,김해국제공항,25,장림포구,20,진해IC,7.3,서울역 (고속철도),80
제주용암해수일반산업단지,일반,-,-,-,-,-,-,광명역 (고속철도),45
제천일반산업단지,일반,원주공항,56,탄도항,173,제천IC,4.2,울산역 (고속철도),15
제천제2산업단지,일반,원주공항,50,탄도항,172,제천IC,2.9,오송역 (고속철도),19
제천제3산업단지,일반,원주공항,50,탄도항,173,제천IC,3.9,오송역 (고속철도),18
증평2일반산업단지,일반,청주국제공항,17,탄도항,124,증평IC,12,전주역 (고속철도),11
증평일반산업단지,일반,청주국제공항,18,탄도항,124,증평IC,12,정읍역 (고속철도),4.6
진주뿌리일반산업단지,일반,사천공항,4.2,삼천포항,27,칠서IC,8.1,전주역 (고속철도),13
진주상평일반산업단지,일반,사천공항,11,삼천포항,34,진해IC,2.9,-,-
진주일반산업단지,일반,사천공항,26,삼천포항,48,통영IC,26,전주역 (고속철도),17
진주정촌일반산업단지,일반,사천공항,5.9,삼천포항,27,진해IC,11,울산역 (고속철도),48
진주지수일반산업단지,일반,사천공항,28,삼천포항,49,통영IC,29,울산역 (고속철도),51
진천문백정밀기계일반산업단지,일반,청주국제공항,16,탄도항,113,증평IC,8.4,동탄역 (고속철도),16
진천문백태흥일반산업단지,일반,청주국제공항,17,탄도항,109,진천IC,11,정읍역 (고속철도),3.2
진천산수일반산업단지,일반,청주국제공항,33,탄도항,99,진천IC,4.5,정읍역 (고속철도),9.1
진천신척일반산업단지,일반,청주국제공항,32,탄도항,96,진천IC,7,정읍역 (고속철도),9.2
진천이월일반산업단지,일반,청주국제공항,29,탄도항,96,대소IC,11,정읍역 (고속철도),45
진천죽현일반산업단지,일반,청주국제공항,35,탄도항,96,대소IC,8.5,창원중앙역 (고속철도),27
진천케이푸드밸리,일반,청주국제공항,27,탄도항,99,진천IC,2.2,창원중앙역 (고속철도),19
진해남양지방산업단지,일반,김해국제공항 국제선청사,25,명동항,9.5,진월IC,9.9,울산역 (고속철도),37
진해마천일반산업단지,일반,김해국제공항 국제선청사,28,명동항,9.1,남지IC,5.2,동탄역 (고속철도),28
진해죽곡일반산업단지,일반,김해국제공항 국제선청사,32,명동항,2.2,하동IC,6.1,제천역 (고속철도),9.8
창녕넥센일반산업단지,일반,대구국제공항,54,장림포구,112,진성IC,11,제천역 (고속철도),7.6
창녕대합일반산업단지,일반,대구국제공항,55,마산항,55,산청IC,2.4,제천역 (고속철도),8.7
창녕억만일반산업단지,일반,대구국제공항,68,마산항,49,군북IC,29,오송역 (고속철도),16
창원수곡일반산업단지,일반,사천공항,58,장림포구,68,광재IC,2.2,물금역 (고속철도),11
창원일반산업단지,일반,사천공항,51,장림포구,55,양산IC,3.7,진주역 (고속철도),48
창원진전평암일반산업단지,일반,사천공항,42,삼천포항,63,동고성IC,6.3,천안아산역 (고속철도),53
창원창곡일반산업단지,일반,김해국제공항,38,마산항,10,군북IC,5.1,감곡장호원역 (고속철도),31
창원천선일반산업단지,일반,김해국제공항,32,장림포구,33,장지IC,3.1,울산역 (고속철도),33
천안마정일반산업단지,일반,청주국제공항,52,궁평항,59,천안IC,9.1,울산역 (고속철도),33
천안산업기술일반산업단지,일반,청주국제공항,54,궁평항,71,북천안IC,3.5,수서역 (고속철도),10
천안제2일반산업단지,일반,청주국제공항,50,궁평항,64,천안IC,6.5,오송역 (고속철도),44
천안제3일반산업단지,일반,청주국제공항,44,궁평항,60,천안IC,7.3,오송역 (고속철도),44
천안제4일반산업단지,일반,청주국제공항,51,궁평항,63,천안IC,9.5,평택지제역 (고속철도),9.9
천안제5일반산업단지,일반,청주국제공항,27,안섬포구,66,목천IC,5.9,창원중앙역 (고속철도),27
천안풍세일반산업단지,일반,청주국제공항,45,안섬포구,53,서천안IC,7.6,부산역 (고속철도),61
청산대전일반산업단지,일반,청주국제공항,76,탄도항,179,영동IC,10,전주역 (고속철도),12
청원옥산일반산업단지,일반,김포국제공항,80,전류리포구,85,신북IC,24,상봉역 (고속철도),13
청주오송제2생명과학일반산업단지(충북경제자유구역 오송바이오폴리스지구),일반,청주국제공항,76,탄도항,179,영동IC,10,밀양역 (고속철도),4.5
청주오창과학일반산업단지,일반,청주국제공항,27,탄도항,109,청주IC,7.8,동탄역 (고속철도),13
