complex_name,status,completion_date,avg_price,industry_type,management,land_size,complex_group,website_url
광양황금일반산업단지,분양중,-,257130,"목재및나무, 비금속광물, 1차금속, 금속가공, 전기장비, 기타기계및장비 제조업, 전기·가스·증기 및 공기조절공급업, 창고 및 운송관련서비스업, 연구개발업",광양만권경제자유구역청,1115667,일반,https://gwangyang.go.kr/menu.es?mid=a11206040100
광주본촌일반산업단지,분양완료,1983-12-31,14820,"전자, 기계, 화학, 음·식료품 등 통계청장이 고시한 한국표준산업분류표에 따른 제조업, 보관·창공업, 운송업, 부동산 임대 및 공급업, 신·재생에너지 발전업(태양에너지발전업) *자세한내용 고시문 참조",광주시(본촌공단협의회),878006,일반,https://terms.naver.com/entry.naver?docId=6699475&cid=71264&categoryId=71673
광주소촌일반산업단지,분양완료,1983-05-08,20872,한국표준산업분류상제조업(환경공해유발업종제외),소촌공단운영협의회,189966,일반,https://terms.naver.com/entry.naver?docId=6699467&cid=71265&categoryId=71427
광주송암일반산업단지,분양완료,1983-12-31,16330,"한국표준산업분류상 제조업(환경공해유발업종제외), 수리업, 전기·가스·증기 및 공기 조절 공급업, 창고 및 운송관련 서비스업, 육상운송 및 파이프라인 운송업",광주시(송암산단협의회),415496,일반,https://terms.naver.com/entry.naver?docId=6699474&cid=71266&categoryId=71509
광주첨단과학국가산업단지,분양중,2013-11-04,153980,"생명공학, 정밀화학, 정보산업, 신소재 등의 첨단산업, 광산업, 디지털정보가전산업, 첨단부품소재산업",한국산업단지공단,9991652,국가,https://tour.gwangju.go.kr/home/tour/info/sports.cs?act=view&infoId=397
광주평동3차일반산업단지,분양완료,2020-09-24,336998,"식료품,1차금속,금속가공제품,전자부품·컴퓨터·영상·음향 및 통신장비,의료·정밀광학기기 및 시계,전기장비,기타기계 및 장비,자동차 및 트레일러 제조업, 전기,가스,증기 및 공기조절, 창고 및 운송관련 서비스업, 연구개발업",광주광역시,1175197,일반,https://www.thebigdata.co.kr/view.php?ud=202009261617396186e91b94b033_23
광주평동일반산업단지,분양완료,2010-11-01,196630,"기타기계 및 장비, 화합물 및 화학제품, 음식료품, 가구 및 기타제품, 자동차 및 트레일러, 전자부품·영상·음향 및 통신장비, 섬유제품 제조업","광주_광산구, 한국산업단지공단",4950849,일반,https://terms.naver.com/entry.naver?docId=6699466&cid=71265&categoryId=71427
광주하남일반산업단지,분양완료,1991-03-31,50214,"식료품, 섬유제품, 화학물질 및 화학제품, 비금속광물제품, 1차금속, 금속가공, 기타제품 제조업",하남산업단지관리공단,5921530,일반,https://terms.naver.com/entry.naver?docId=6699465&cid=71265&categoryId=71427
괴산대제일반산업단지,분양중,2016-09-02,118770,"식료품, 화학물질및화학제품,비금속 광물제품, 금속가공제품 제조업, 전기·가스·증기및공기조절공급업(연료전지발전업에 한함), 유치 제한업종 고시문 참조",충북_괴산군,849391,일반,https://www.news1.kr/articles/?2149390
괴산유기식품일반산업단지,분양중,-,108838,"식료품제조업, 음료제조업, 창고 및 운송관련 서비스업",충북_괴산군,806175,일반,https://www.ccreview.co.kr/news/articleView.html?idxno=304352
괴산첨단산업단지,분양중,2022-03-11,169700,"식료품 제조업, 화학물질 및 화학제품 제조업, 전자부품·컴퓨터·영상·음향 및 통신장비 제조업, 연구개발업 *유치 제한업종 고시문 참조",충북_괴산군,468750,일반,https://kidd.co.kr/news/210320
구미국가산업단지,분양완료,2011-02-17,135228,"가공조립형, 자원입지형, 기초소재형 업종",한국산업단지공단,1590976,국가,https://namu.wiki/w/%EA%B5%AC%EB%AF%B8%EA%B5%AD%EA%B0%80%EC%82%B0%EC%97%85%EB%8B%A8%EC%A7%80
국가식품클러스터국가산업단지,분양중,2018-03-27,151288,"식료품제조업, 음료제조업, 연관업종(목재및나무, 펄프,종이및종이제품,의료용물질및의약품,고무제품및플라스틱,금속가공제품,의료,정밀,광학기기및시계,기타제품 제조업)",한국산업단지공단,2205929,국가,https://www.rwn.co.kr/news/articleView.html?idxno=71223
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,분양완료,2018-03-27,0,"식료품제조업, 음료제조업, 연관업종(펄프,종이및종이제품,의료용물질및의약품,고무제품및플라스틱,금속가공제품 제조업)",한국산업단지공단,116000,국가,http://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=350255
군산2국가산업단지,분양완료,2007-01-31,113467,"섬유제품, 펄프제품, 고무 및 플라스틱 제품을 제외한 전업종",한국산업단지공단,50458513,국가,https://terms.naver.com/entry.naver?docId=2687954&cid=51946&categoryId=55073
군산국가산업단지,분양완료,1995-01-28,58794,"자동차 및 자동차 부품제조, 기타제조",한국산업단지공단,13702000,국가,https://www.gunsan.go.kr/main/m62
군산일반산업단지,분양완료,2006-01-18,88000,"음식료품, 제1차금속, 비금속광물, 펄프 종이 및 종이제품, 석유화학 등",전북_군산시,5641220,일반,https://terms.naver.com/entry.naver?docId=2687960&cid=51946&categoryId=55073
기장기룡제1일반산업단지,분양완료,2008-08-29,814000,"음식료품제조업, 비주거용건물임대업",부산경제진흥원,83411,일반,https://terms.naver.com/entry.naver?docId=2824425&cid=55775&categoryId=56046
기장기룡제2일반산업단지,분양완료,2011-07-13,0,"금속가공제품 제조업, 1차금속 제조업, 의료용물질 및 의약품 제조업, 비주거용건물임대업",부산경제진흥원,46308,일반,https://terms.naver.com/entry.naver?docId=2824425&cid=55775&categoryId=56046
