"id","complex_name","address","main_industry"
584779,보령관창일반산업단지,충청남도 보령시 주교면 관창공단길 225 (주식회사 이건),30331
584802,보은동부일반산업단지,충청북도 보은군 장안면 우진플라임로 100,29292
584803,보은일반산업단지,충청북도 보은군 삼승면 우진리 575,25112
584851,부산강서보고일반산업단지,부산광역시 강서구 과학산단2로42번길 23(지사동),52101
584872,부산강서신호일반산업단지,부산광역시 강서구 신호산단1로 220-3 (신호동),25113
584943,부산강서화전일반산업단지,부산광역시 강서구 화전산단5로74번길 3 (화전동),52915
585212,부산과학일반산업단지,부산광역시 강서구 과학산단로305번길 8(지사동),29299
585421,부산미음일반산업단지,부산광역시 강서구 미음산단5로41번길 21 (미음동),63999
585834,부산반룡일반산업단지,부산광역시 기장군 장안읍 반룡리 908번지,28423
585919,부산생곡지구일반산업단지,부산광역시 강서구 생곡산단2로11번길 39 (생곡동),38311
586037,부산성우일반산업단지,부산광역시 강서구 과학산단로333번길 77-69 (지사동),52101
586055,부산센텀시티일반산업단지,"부산광역시 해운대구 센텀동로 99, 13층 1304 (재송동, 벽산e센텀클래스원)",68112
588805,부산신소재일반산업단지,부산광역시 기장군 장안읍 반룡리 878-2번지,30399
588810,부산신평장림일반산업단지(기존단지),부산광역시 사하구 다대로 169 (신평동),13223
588957,부산신항배후 국제산업물류도시(1단계)일반산업단지,부산광역시 강서구 미음동 0번지 부산신항배후 국제산업물류도시(1단계) 일반산업단지 I33블록 6놋트,25941
589628,부산오리일반산업단지,부산광역시 기장군 장안읍 오리산단5로 3,29133
589705,부산정관코리일반산업단지,부산광역시 기장군 정관읍 산단7로 50-37 외 2필지,30399
589711,부산지사제2일반산업단지,부산광역시 강서구 과학산단2로19번길 100-56(지사동),20119
589728,부산풍상일반산업단지,부산광역시 강서구 과학산단로 194-11 (지사동),25929
589730,부안신재생에너지 일반산업단지,전북특별자치도 부안군 하서면 신재생에너지로 46-69 외 5필지,31113
589733,부천오정일반산업단지,"경기도 부천시 오정구 산업로 48, 201호 (오정동)",28422
589796,북구검단일반산업단지,대구광역시 북구 검단로31길 43 (검단동),17229
590251,북평국가산업단지,강원도 동해시 ,7290
590310,뷰티풀파크,인천광역시 서구 도담로 181(오류동) 외 1필지,68112
591294,빛그린국가산업단지,광주광역시 광산구,17211
591418,사상재생사업지구,부산광역시 사상구 장인로37번길 13-13(감전동),28123
592244,사천제1일반산업단지,경상남도 사천시 사남면 외국기업로 152-54 (EEW성화산업(주)) 외 1필지,24132
592256,사천제2일반산업단지,경상남도 사천시 사남면 공단4로 147,30399
592272,사천종포일반산업단지,경상남도 사천시 용현면 종포산단1길 33,31322
592282,산청매촌일반산업단지,경상남도 산청군 금서면 동의보감로 77-11,25113
592287,산청매촌제2일반산업단지,경상남도 산청군 금서면 매촌리 1363번지,28123
592292,상복일반산업단지,경상남도 창원시 성산구 상복산단1로 10(신촌동),29280
592298,상주청리일반산업단지,경상북도 상주시 청리면 마공리 1203번지,10799
592304,상주한방일반산업단지,경상북도 상주시 은척면 성주봉로 91,10797
592305,서김해일반산업단지,경상남도 김해시 서김해산단안길 117(풍유동),26295
592384,서대구일반산업단지,"대구광역시 서구 와룡로 307, 1층 104호(중리동) 1층 104호",68112
593693,서동일반산업단지,경상북도 경주시 양남면 동남로 167-42 외 1필지,30320
593694,서산대산일반산업단지,충청남도 서산시 대산읍 대죽리 1121번지,19210
593698,서산대산제3일반산업단지,충청남도 서산시 대산읍 대죽리 1181번지 외 1필지,20111
593702,서산대죽일반산업단지,충청남도 서산시 대산읍 대죽2로 15 외 6필지,23323
593708,서산오토밸리일반산업단지,충청남도 서산시 지곡면 무장산업로 201-47,24122
593746,서산인더스밸리일반산업단지,충청남도 서산시 성연면 해성리 649번지 외 2필지,30399
593761,서산테크노밸리일반산업단지,"충청남도 서산시 성연면 성연3로 133-25, (주)가나스틸 외 1필지",24199
593819,서울디지털국가산업단지,서울특별시 구로구 ,10122
608830,서울마곡일반산업단지,"서울특별시 강서구 마곡중앙8로3길 15, (주)고려에스엠티 (마곡동)",22249
608933,서울온수일반산업단지,경기도 부천시 원미구 부일로815번길 94 (역곡동),15211
609003,석문국가산업단지,충청남도 당진시 ,25929
609199,서울우유일반산업단지,경기도 양주시 은현면 예원대학로 62 서울우유 양주신공장,10501
609200,설성일반산업단지,경기도 이천시 설성면 노성로259번길 76-33,22213
609204,성남일반산업단지,"경기도 성남시 중원구 사기막골로 99, 4층 424호(상대원동) 4층 424호",25932
612591,성서5차첨단산업단지,"대구광역시 달성군 다사읍 세천로3길 69, 성서5차첨단산업단지 6B 4L",29294
612705,성주월항일반산업단지,경상북도 성주군 월항면 월항지방공단길 18,23911
612718,성주일반산업단지,경상북도 성주군 성주읍 성주산업단지로1길 41,29299
612804,성주제2일반산업단지,경상북도 성주군 성주읍 성주산업단지로3길 89,17211
612846,세종명학일반산업단지,세종특별자치시 연동면 명학산단동로 23,22241
612886,세종미래일반산업단지,세종특별자치시 전의면 의당전의로 461,20499
612912,세종부강일반산업단지,세종특별자치시 부강면 금호안골길 78,20499
612928,세종소정일반산업단지,세종특별자치시 전의면 유천리 935번지 외 9필지,23121
612929,세종월산일반산업단지,세종특별자치시 연기면 원수산로 155,23991
612930,세종전의일반산업단지,세종특별자치시 전의면 산단길 220 외 2필지,20423
612939,세종전의제2일반산업단지,세종특별자치시 전의면 산단길 22-24,20202
612972,세종조치원일반산업단지,"세종특별자치시 연서면 공단로 91, (부동리 154)",13101
612991,세종첨단일반산업단지,세종특별자치시 소정면 아야목길 37,20423
613019,송도지식정보일반산업단지,"인천광역시 연수구 갯벌로 76, 1층(송도동, (주)유성계전사옥)",28121
613148,순천일반산업단지,전라남도 순천시 서면 산단2길 67 (동방이엔지주식회사),28123
613180,순천해룡일반산업단지,전라남도 순천시 해룡면 해룡산단1로 59,25111
613258,시화국가산업단지,"경기도 시흥시, 안산시",25924
624498,시흥매화일반산업단지,"경기도 시흥시 매화산단3길 1, 331호(매화동) 331호",29294
624965,아산국가산업단지,충청남도 아산시,16232
625197,신갈일반산업단지,경기도 이천시 모가면 신갈리 839번지,32011
625198,신둔일반산업단지,경기도 이천시 신둔면 서이천로 854-27,26299
625200,아산디지털일반산업단지,충청남도 아산시 음봉면 연암율금로 77-34,25923
625213,아산운용일반산업단지,충청남도 아산시 둔포면 아산밸리로 87-1,25924
625223,아산인주일반산업단지,충청남도 아산시 인주면 인주산단로 65 ((주)가람),38311
625264,아산제2테크노밸리일반산업단지,충청남도 아산시 음봉면 아산밸리로388번길 152,29271
625346,아산탕정디스플레이시티1일반산업단지,충청남도 아산시 탕정면 명암리 1324번지,26211
625351,아산테크노밸리일반산업단지,충청남도 아산시 둔포면 아산밸리로 303,29271
625482,안산반월도금일반산업단지,"경기도 안산시 상록구 용담로 105 (팔곡이동, 경우기공(주))",68112
625575,안성가율일반산업단지,경기도 안성시 보개면 보개원삼로 790-23,35114
625578,안성개정일반산업단지,"경기도 안성시 미양면 개정산업단지로 85, (개정리762)",38210
625589,안성공도일반산업단지,경기도 안성시 공도읍 서동대로 4279,32091
625594,안성금산지방산업단지,경기도 안성시 일죽면 일생로 185-11,10129
625605,안성덕산일반산업단지,경기도 안성시 삼죽면 덕산공단길 24 (총 2 필지) 외 1필지,10802
625617,안성동항일반산업단지,경기도 안성시 양성면 동항공단길 57,24211
625631,안성동항제2일반산업단지,경기도 안성시 양성면 만세로 710,22221
625651,안성마정일반산업단지,경기도 안성시 공도읍 문터길 72-23 외 1필지,25122
625654,안성방초일반산업단지,경기도 안성시 일죽면 방초산단로 12,22192
625663,안성용월일반산업단지,경기도 안성시 삼죽면 삼죽로 205-19,10713
625671,안성원곡일반산업단지,경기도 안성시 원곡면 청원로 1785-6,10402
625677,안성월정일반산업단지,경기도 안성시 일죽면 서동대로 7280-30,22229
625682,안성장원일반산업단지,경기도 안성시 죽산면 장원공단길 45-17,22251
625696,안성장원제2일반산업단지,"경기도 안성시 죽산면 장원공단길 35-42, (장원리) (총 2 필지) 외 2필지",24311
625705,안성제1일반산업단지,경기도 안성시 양성면 덕봉리 22번지 외 4필지 외 4필지,30320
625753,안성제2일반산업단지,경기도 안성시 미양면 제2공단1길 104,20423
625811,안성제3일반산업단지,경기도 안성시 서운면 제3공단2길 10,22299
625856,안성제4일반산업단지,경기도 안성시 미양면 제4산단1로 10,10121
625880,안정국가산업단지,경상남도 통영시 ,31111
625898,안성지문일반산업단지,경기도 안성시 원곡면 지문리 33-1 번지 외 91필지 외 1필지,22232
625899,양산덕계일반산업단지,경상남도 양산시 매곡동 1118-2번지,22241
625930,양산산막일반산업단지,경상남도 양산시 산막동 0-0번지 9블럭 5롯드,64121
626082,양산서창일반산업단지,경상남도 양산시 주남산단로 51 (주남동),13229
626128,양산석계2일반산업단지,경상남도 양산시 상북면 석계산단2길 27,25112
626254,양산어곡일반산업단지,"경상남도 양산시 어곡공단로 116 (어곡동, (주)에스피엠)",28111
626369,양산용당일반산업단지,"경상남도 양산시 용당산단1길 5, 용당일반산업단지 B-1 (용당동)",30331
626412,양산유산일반산업단지,경상남도 양산시 유산동 509 외 2필지,52109
626426,양산일반산업단지,경상남도 양산시 유산공단4길 47-4 (유산동),13921
626519,양주검준일반산업단지,경기도 양주시 남면 검준길 243,13402
626591,양주구암일반산업단지,경기도 양주시 남면 구암리 379,13224
626593,양주남면일반산업단지,"경기도 양주시 남면 감악산로199번길 105-75, (주)상영테크",25112
626631,양주도하일반산업단지,"경기도 양주시 은현면 그루고개로 366, 외 10필번지",24221
626632,양주상수일반산업단지,경기도 양주시 남면 휴암로284번길 403-17,29176
626645,양주홍죽일반산업단지,경기도 양주시 백석읍 홍죽리 962-10번지 외 2필지,70111
626726,여수국가산업단지,전라남도 여수시 ,25924
627036,에스폼산업단지,충청북도 진천군 광혜원면 삼절1길 28,25113
627038,여수오천일반산업단지,"전라남도 여수시 망양로 514-15, (주)건우산업 (오천동)",20499
627094,여수율촌제1일반산업단지,전라남도 순천시 해룡면 율촌산단4로 68-7,25122
627229,여주강천일반산업단지,경기도 여주시 강천면 곱새기로 24-29,25113
627235,여주삼교일반산업단지,경기도 여주시 장여로 1463-81 (삼교동) 외 3필지,23321
627236,여주장안일반산업단지,"경기도 여주시 안평로 79, (716번지) (점동면) 외 5필지",23911
627237,연천백학일반산업단지,경기도 연천군 백학면 통구리 1067-1번지,20499
627296,연천백학통구일반산업단지,경기도 연천군 백학면 통구리 1076,24321
627297,연천장남일반산업단지,경기도 연천군 장남면 장백로 353,22223
627299,영광대마일반산업단지,전라남도 영광군 대마면 송죽리 1041-5,10799
627373,영동일반산업단지,경상남도 함안군 칠북면 영동리 937번지,25112
627394,영암삼호일반산업단지,전라남도 영암군 삼호읍 용당리 2172-1 번지 외 25필지,31111
627395,영주SK스페셜티일반산업단지,경상북도 영주시 가흥공단로 70 (상줄동),20121
627396,영주가흥일반산업단지,"경상북도 영주시 가흥공단로 59-144 (상줄동, 소디프제1공장) (총 3 필지)",10129
627401,영주갈산일반산업단지,경상북도 영주시 장수면 용주로 88-60,29141
627405,영주두전일반산업단지,경상북도 영주시 장수면 두전리 1141-5번지,10309
627409,영주일반산업단지,경상북도 영주시 봉현면 소백로1701번길 158,13221
627450,영천일반산업단지,경상북도 영천시 영천산단로 411 (채신동),30399
627528,예산신소재일반산업단지,충청남도 예산군 고덕면 상몽산단로 136,24311
627555,예산예당일반산업단지,충청남도 예산군 고덕면 예당산단4길 67,10741
627623,예산일반산업단지,충청남도 예산군 응봉면 산단1길 7,20491
627684,오산가장2일반산업단지,경기도 오산시 가장산업서로 56-8 (가장동),29299
627745,오산가장지방산업단지,경기도 오산시 가장산업동로 28-73 (가장동),29271
627780,오산세마일반산업단지,"경기도 오산시 지곶중앙로 1-19, 1, 2층 일부(세교동, 주식회사필옵틱스)",29272
627786,오송생명과학단지,충청북도 청주시 흥덕구,27111
627862,옥천청산일반산업단지,충청북도 옥천군 청산면 인정1길 89,25912
627879,옥천테크노밸리일반산업단지,충청북도 옥천군 옥천읍 테크노밸리로 117,29229
627891,온산국가산업단지,울산광역시 울주군,25924
628244,완장일반산업단지,경기도 용인시 처인구 남사면 완장리 산 22-1번지,29271
628246,완주일반산업단지,전북특별자치도 완주군 봉동읍 완주산단5로 284,30331
628347,완주테크노밸리일반산업단지,전북특별자치도 완주군 봉동읍 테크노밸리로 534 외 1필지,25113
628468,왜관일반산업단지,"경상북도 칠곡군 왜관읍 공단로4길 45-1, 1단지 15B-12L",29173
628877,왜관제3일반산업단지,"경상북도 칠곡군 왜관읍 3산업단지3길 93, 3단지 9B-5L",32021
628930,용인농서일반산업단지,경기도 용인시 기흥구 삼성2로96번길 23(농서동) 외 9필지,20121
628933,용인원삼일반산업단지,경기도 용인시 처인구 원삼면 이원로 1076,28123
