complex_name,latitude,longitude
정읍제3일반산업단지,35.6181467,126.912131
정읍첨단과학일반산업단지,35.5060342,126.8374185
정주일반산업단지,35.1526629,128.8271681
제주용암해수일반산업단지,33.5415032,126.816361
제천일반산업단지,37.1461127,128.1641523
제천제2산업단지,37.1510171,128.146891
제천제3산업단지,37.148431,128.1448606
증평2일반산업단지,36.817268,127.5960795
증평일반산업단지,36.8002217,127.5934517
진주뿌리일반산업단지,35.1139871,128.1028216
진주상평일반산업단지,35.173665,128.1147408
진주일반산업단지,35.1876211,128.2813946
진주정촌일반산업단지,35.1209869,128.100115
진주지수일반산업단지,35.2341556,128.260849
진천문백정밀기계일반산업단지,36.7832508,127.4594617
진천문백태흥일반산업단지,36.8139724,127.4355476
진천산수일반산업단지,36.8963591,127.4816495
진천신척일반산업단지,36.928054,127.4815159
진천이월일반산업단지,36.9177485,127.4242493
진천죽현일반산업단지,36.9475572,127.421336
진천초평은암일반산업단지,36.7926862,127.5306223
진천케이푸드밸리,36.8827715,127.4596343
진해남양지방산업단지,35.1175934,128.7801464
진해마천일반산업단지,35.1206677,128.7842221
진해죽곡일반산업단지,35.1125666,128.7241958
창녕넥센일반산업단지,35.6313009,128.4526716
창녕대합일반산업단지,35.6204563,128.4413344
창녕억만일반산업단지,35.5627046,128.4934213
창원수곡일반산업단지,35.2696908,128.4967495
창원일반산업단지,35.3348764,128.7019148
창원진전평암일반산업단지,35.150107,128.3902713
창원창곡일반산업단지,35.2135119,128.6467519
창원천선일반산업단지,35.1853051,128.7071555
천안마정일반산업단지,36.8651968,127.1038018
천안산업기술일반산업단지,36.8838275,127.1613116
천안제2일반산업단지,36.857438,127.1231515
천안제3일반산업단지,36.8238031,127.1111138
천안제4일반산업단지,36.8628529,127.1187694
천안제5일반산업단지,36.7434543,127.2507483
천안풍세일반산업단지,36.7317976,127.097351
청산대전일반산업단지,38.0072075,127.0799108
청원옥산일반산업단지,36.7029746,127.3741127
청주오송제2생명과학일반산업단지(충북경제자유구역 오송바이오폴리스지구),36.6266293,127.304492
청주오창과학일반산업단지,36.7255624,127.4271141
청주오창제2일반산업단지,36.7272822,127.4493964
청주오창제3일반산업단지,36.731986,127.3459194
청주테크노폴리스일반산업단지,36.6556516,127.4386676
청주현도일반산업단지,36.5082748,127.418948
춘천동춘천일반산업단지,37.76787,127.7765028
춘천전력IT문화복합일반산업단지,37.7678975,127.6221531
춘천후평일반산업단지,37.8878929,127.7451253
충주DH산업단지,37.0115561,127.7643052
충주KGC예본일반산업단지,36.9338212,127.8925103
충주대신일반산업단지,37.0968937,127.9690124
충주만정일반산업단지,36.9651711,127.8575765
충주메가폴리스일반산업단지,36.9943109,127.8261027
충주제1일반산업단지,37.4410874,127.1721526
충주제3일반산업단지,37.0081523,127.9325389
충주제4일반산업단지,37.0111324,127.9407839
충주제5일반산업단지,37.0086,127.9472
충주중원일반산업단지,37.0105378,127.7525314
충주첨단일반산업단지,37.0011633,127.8409062
칠곡연화일반산업단지,35.9550933,128.4567513
칠서일반산업단지,35.3732939,128.4866665
탕정일반산업단지,36.7915142,127.0635884
태백동점산업단지,37.0869379,129.0430941
파주LCD일반산업단지,37.8121485,126.762693
파주금파일반산업단지,37.9230586,126.8415719
파주문발제1일반산업단지,37.7301559,126.7088774
파주문발제2일반산업단지,37.7299357,126.7092822
파주법원2일반산업단지,37.840536,126.8554672
파주신촌일반산업단지,37.7284023,126.6966695
파주오산일반산업단지,37.7727913,126.8398995
파주월롱첨단일반산업단지,37.8330415,126.7760588
파주적성일반산업단지,37.9710866,126.9091974
파주첨단일반산업단지(선유지구),37.8584037,126.8047706
파주축현일반산업단지,37.8026068,126.7444535
파주탄현일반산업단지,37.7940431,126.6918406
평택LGDigitalPark일반산업단지,37.1261177,127.0928352
평택고렴일반산업단지,37.0556336,126.9345325
평택송탄일반산업단지,37.0345937,127.0790025
평택어연.한산일반산업단지,37.0487401,126.9716029
평택일반산업단지,37.0100657,127.0810896
평택장당일반산업단지,37.0442431,127.0604131
평택진위2일반산업단지,37.1192088,127.0779597
평택진위일반산업단지,37.1216041,127.0838226
평택추팔일반산업단지,36.9586974,127.0736138
평택칠괴일반산업단지,37.0346532,127.0906771
평택포승2일반산업단지,36.9702764,126.8622677
평택현곡일반산업단지,37.0390765,126.9435815
포천금현일반산업단지,37.8115727,127.192806
포천신평일반산업단지,37.9424498,127.2269736
포천양문일반산업단지,38.0065423,127.2601957
포천용정일반산업단지,37.8776278,127.2029914
포천장자일반산업단지,37.9584968,127.2278275
포항영일만2일반산업단지,36.11184,129.4143213
포항영일만3일반산업단지,36.1177562,129.4167357
포항영일만4일반산업단지,36.103169,129.4047683
포항영일만일반산업단지,36.0952027,129.4183056
함안대산대사일반산업단지,35.3396035,128.4654524
함안법수강주일반산업단지,35.3111401,128.3349992
함안법수우거일반산업단지,35.3091194,128.3620856
함안사내일반산업단지,35.2686531,128.3711533
함안일반산업단지,35.2945849,128.313621
함안장지일반산업단지,35.2779812,128.3395099
함양일반산업단지,35.5489792,127.8009724
함평동함평일반산업단지,35.0614098,126.5477022
홍성일반산업단지,36.6335752,126.5333247
홍천북방일반산업단지,37.6917713,127.8408289
화성 영진바이오 일반산업단지,37.1799003,126.8511162
화성 팔탄(한미약품) 일반산업단지,37.1802201,126.8632385
화성동탄일반산업단지,37.1615912,127.0862859
화성마도일반산업단지,37.1848445,126.7925426
화성바이오밸리일반산업단지,37.167725,126.7755811
화성발안일반산업단지,37.083873,126.9119808
화성송산테크노파크일반산업단지,37.2176437,126.6974633
화성일반산업단지,37.2234399,127.063343
화성전곡해양일반산업단지,37.1878209,126.6803795
화성정남일반산업단지,37.1453764,127.029381
화성주곡일반산업단지,37.1163453,126.8124534
화성향남제약일반산업단지,37.0892232,126.899568
화성화남일반산업단지,37.1610596,126.670589
화순지방산업단지,35.0288287,126.974006
횡성우천일반산업단지,37.4923915,128.0580861
광주첨단과학국가산업단지,35.202768,126.8635266
반월국가산업단지,37.3151711,126.7784978
구미국가산업단지,36.1113293,128.3781187
시화국가산업단지,37.3134761,126.7474746
익산국가산업단지,35.944627,126.974257
국가식품클러스터국가산업단지,35.9852128,127.085831
서울디지털국가산업단지,37.4843266,126.8970986
국가식품클러스터식품산업단지중소협력단지형외국인투자지역,35.9852128,127.085831
군산2국가산업단지,35.9597517,126.5483371
군산국가산업단지,35.9616898,126.58636
남동국가산업단지,37.4022672,126.6949838
대구국가산업단지,35.6449335,128.4179634
대불국가산업단지,34.7685146,126.443275
명지녹산국가산업단지,35.0932941,128.8524155
대불외국인투자지역,34.7760503,126.4468117
동두천국가산업단지,37.9100183,127.0245983
